997.151,924.258
1110.67,904.867
942.722,903.685
869.606,894.061
926.833,711.306
1149.05,697.32
680.083,599.236
966.375,586
978.451,582.706
1325.39,571.387
747.603,566.651
1039.76,559.222
797.733,560.5
758.981,561.763
789,555.667
845.213,481.142
1419.7,477.963
852.513,476.754
1294,465.5
1033.78,457.391
943.015,453.606
1047.03,454.488
952.129,453.195
769.222,443.556
1296.78,437.444
781.631,438.657
906.5,328.5
1043,319.763
1051.68,317.333
1273.08,230.322
980.955,226.441
1147.02,221.342
1135.22,216.778
728.803,209.182
674.667,137.667
730.714,130.929
1254.67,116.333
937.849,105.5
991.86,104.509
