# data format,5,
#,30,30,900,35,35,5,5,
#  xx,   yy, zz,   uu,   vv, ww,
  215,  180,  0,  -15,    8,  0,
  250,  180,  0,   15,   14,  0,
  285,  180,  0,   10,    9,  0,
  320,  180,  0,    1,   -8,  0,
  355,  180,  0,   14,   15,  0,
  390,  180,  0,   14,   15,  0,
  425,  180,  0,   -9,  -15,  0,
  460,  180,  0,    8,   15,  0,
  495,  180,  0,   -7,   15,  0,
  530,  180,  0,   12,   11,  0,
  565,  180,  0,   15,  -10,  0,
  600,  180,  0,   15,   13,  0,
  635,  180,  0,  -10,  -15,  0,
  670,  180,  0,   -6,   15,  0,
  705,  180,  0,  -13,    7,  0,
  740,  180,  0,  -13,   15,  0,
  775,  180,  0,    7,  -12,  0,
  810,  180,  0,   13,   11,  0,
  845,  180,  0,   14,   -7,  0,
  880,  180,  0,  -15,  -14,  0,
  915,  180,  0,   15,   15,  0,
  950,  180,  0,   11,  -13,  0,
  985,  180,  0,   13,  -10,  0,
 1020,  180,  0,   15,   15,  0,
,
    5,  215,  0,  -14,    9,  0,
   40,  215,  0,   15,  -15,  0,
   75,  215,  0,   14,   15,  0,
  110,  215,  0,   15,   15,  0,
  145,  215,  0,   13,    2,  0,
  180,  215,  0,    7,   -5,  0,
  215,  215,  0,  -13,  -13,  0,
  250,  215,  0,    8,    9,  0,
  285,  215,  0,   15,   10,  0,
  320,  215,  0,   14,    1,  0,
  355,  215,  0,    6,   -2,  0,
  390,  215,  0,  -10,    0,  0,
  425,  215,  0,   15,    1,  0,
  460,  215,  0,  -14,  -15,  0,
  495,  215,  0,   14,  -14,  0,
  530,  215,  0,  -14,   11,  0,
  565,  215,  0,   15,    7,  0,
  600,  215,  0,   14,   10,  0,
  635,  215,  0,  -15,   14,  0,
  670,  215,  0,   14,   -5,  0,
  705,  215,  0,   15,  -11,  0,
  740,  215,  0,  -15,    9,  0,
  775,  215,  0,   13,  -15,  0,
  810,  215,  0,    9,   -7,  0,
  845,  215,  0,   13,    4,  0,
  880,  215,  0,   -8,  -13,  0,
  915,  215,  0,   -8,  -15,  0,
  950,  215,  0,   15,   12,  0,
  985,  215,  0,  -12,   -6,  0,
 1020,  215,  0,   15,  -15,  0,
,
    5,  250,  0,   15,  -15,  0,
   40,  250,  0,  -15,   15,  0,
   75,  250,  0,   14,   11,  0,
  110,  250,  0,  -13,   10,  0,
  145,  250,  0,   15,    4,  0,
  180,  250,  0,   15,  -14,  0,
  215,  250,  0,   13,  -15,  0,
  250,  250,  0,    7,   15,  0,
  285,  250,  0,    5,   15,  0,
  320,  250,  0,  -10,  -15,  0,
  355,  250,  0,  -10,  -13,  0,
  390,  250,  0,  -14,  -15,  0,
  425,  250,  0,   14,   -3,  0,
  460,  250,  0,   15,   -7,  0,
  495,  250,  0,  -13,  -11,  0,
  530,  250,  0,  -15,   14,  0,
  565,  250,  0,  -14,  -10,  0,
  600,  250,  0,   13,  -12,  0,
  635,  250,  0,   13,  -15,  0,
  670,  250,  0,   15,  -13,  0,
  705,  250,  0,  -15,   -7,  0,
  740,  250,  0,   12,   15,  0,
  775,  250,  0,    5,   15,  0,
  810,  250,  0,  -15,   15,  0,
  845,  250,  0,  -11,   15,  0,
  880,  250,  0,   -9,  -15,  0,
  915,  250,  0,  -15,  -12,  0,
  950,  250,  0,  -15,   10,  0,
  985,  250,  0,  -15,   12,  0,
 1020,  250,  0,   15,  -14,  0,
,
    5,  285,  0,  -15,   -8,  0,
   40,  285,  0,  -14,    9,  0,
   75,  285,  0,   12,   -6,  0,
  110,  285,  0,  -15,   15,  0,
  145,  285,  0,   15,   15,  0,
  180,  285,  0,  -15,   12,  0,
  215,  285,  0,  -14,   15,  0,
  250,  285,  0,   13,  -11,  0,
  285,  285,  0,   15,   11,  0,
  320,  285,  0,    9,   11,  0,
  355,  285,  0,  -13,  -14,  0,
  390,  285,  0,  -15,   14,  0,
  425,  285,  0,   10,  -15,  0,
  460,  285,  0,    8,   -5,  0,
  495,  285,  0,  -12,   15,  0,
  530,  285,  0,   15,  -15,  0,
  565,  285,  0,  -15,   -9,  0,
  600,  285,  0,  -15,  -15,  0,
  635,  285,  0,    8,   12,  0,
  670,  285,  0,   10,  -14,  0,
  705,  285,  0,   -7,   14,  0,
  740,  285,  0,  -14,  -15,  0,
  775,  285,  0,   15,   15,  0,
  810,  285,  0,  -15,   13,  0,
  845,  285,  0,   -6,  -14,  0,
  880,  285,  0,  -10,    7,  0,
  915,  285,  0,   15,   15,  0,
  950,  285,  0,  -12,   13,  0,
  985,  285,  0,   14,   -5,  0,
 1020,  285,  0,   15,  -13,  0,
,
    5,  320,  0,  -15,  -14,  0,
   40,  320,  0,   12,    4,  0,
   75,  320,  0,  -15,  -15,  0,
  110,  320,  0,   15,  -12,  0,
  145,  320,  0,   -2,  -15,  0,
  180,  320,  0,  -15,  -15,  0,
  215,  320,  0,   15,   15,  0,
  250,  320,  0,  -12,   15,  0,
  285,  320,  0,   13,  -14,  0,
  320,  320,  0,  -15,  -15,  0,
  355,  320,  0,   15,    7,  0,
  390,  320,  0,   11,   15,  0,
  425,  320,  0,  -15,   11,  0,
  460,  320,  0,   15,   14,  0,
  495,  320,  0,  -14,  -12,  0,
  530,  320,  0,   15,  -15,  0,
  565,  320,  0,  -15,  -15,  0,
  600,  320,  0,   14,   -5,  0,
  635,  320,  0,   14,  -12,  0,
  670,  320,  0,   13,   12,  0,
  705,  320,  0,   -6,  -15,  0,
