# data format,5,
#,30,30,900,35,35,5,5,
#  xx,   yy, zz,   uu,   vv, ww,
  915,  775,  0,   14,  -11,  0,
  950,  775,  0,  -13,  -12,  0,
  985,  775,  0,   15,  -10,  0,
 1020,  775,  0,   15,  -15,  0,
,
    5,  810,  0,  -15,   15,  0,
   40,  810,  0,  -14,   -6,  0,
   75,  810,  0,    7,   -7,  0,
  110,  810,  0,   15,   10,  0,
  145,  810,  0,    7,  -11,  0,
  180,  810,  0,    6,    1,  0,
  215,  810,  0,   15,   14,  0,
  250,  810,  0,   13,   15,  0,
  285,  810,  0,    0,    0,  0,
  320,  810,  0,  -14,  -15,  0,
  355,  810,  0,  -13,  -14,  0,
  390,  810,  0,  -14,  -14,  0,
  425,  810,  0,   -8,   12,  0,
  460,  810,  0,  -13,    6,  0,
  495,  810,  0,  -11,   12,  0,
  530,  810,  0,   15,   15,  0,
  565,  810,  0,   13,  -14,  0,
  600,  810,  0,  -15,   13,  0,
  635,  810,  0,  -15,   14,  0,
  670,  810,  0,  -13,  -14,  0,
  705,  810,  0,  -15,  -13,  0,
  740,  810,  0,   15,   14,  0,
  775,  810,  0,   12,   -4,  0,
  810,  810,  0,  -15,   12,  0,
  845,  810,  0,   15,   14,  0,
  880,  810,  0,   15,  -13,  0,
  915,  810,  0,   15,    5,  0,
  950,  810,  0,   12,  -15,  0,
  985,  810,  0,  -15,    4,  0,
 1020,  810,  0,   15,    5,  0,
,
    5,  845,  0,  -15,    7,  0,
   40,  845,  0,    4,  -15,  0,
   75,  845,  0,  -15,   -9,  0,
  110,  845,  0,  -15,   -8,  0,
  145,  845,  0,   10,   15,  0,
  180,  845,  0,  -15,   14,  0,
  215,  845,  0,   11,  -10,  0,
  250,  845,  0,  -15,    9,  0,
  285,  845,  0,   -8,   -4,  0,
  320,  845,  0,  -15,   14,  0,
  355,  845,  0,    8,  -15,  0,
  390,  845,  0,    0,    0,  0,
  425,  845,  0,  -15,  -13,  0,
  460,  845,  0,  -15,   14,  0,
  495,  845,  0,   11,   14,  0,
  530,  845,  0,    0,    0,  0,
  565,  845,  0,  -14,  -11,  0,
  600,  845,  0,   15,   -9,  0,
  635,  845,  0,   14,   11,  0,
  670,  845,  0,  -15,   14,  0,
  705,  845,  0,  -15,  -15,  0,
  740,  845,  0,   15,   11,  0,
  775,  845,  0,   14,   14,  0,
  810,  845,  0,    5,  -14,  0,
  845,  845,  0,  -10,   13,  0,
  880,  845,  0,   10,   15,  0,
  915,  845,  0,    7,  -14,  0,
  950,  845,  0,  -14,    2,  0,
  985,  845,  0,   15,  -14,  0,
 1020,  845,  0,   15,   11,  0,
,
    5,  880,  0,  -15,  -15,  0,
   40,  880,  0,  -15,  -15,  0,
   75,  880,  0,   -7,  -12,  0,
  110,  880,  0,   -6,  -11,  0,
  145,  880,  0,   10,   -4,  0,
  180,  880,  0,    7,   11,  0,
  215,  880,  0,  -14,  -14,  0,
  250,  880,  0,  -15,   15,  0,
  285,  880,  0,  -10,  -14,  0,
  320,  880,  0,  -15,  -10,  0,
  355,  880,  0,   15,  -15,  0,
  390,  880,  0,   -8,  -13,  0,
  425,  880,  0,  -13,   12,  0,
  460,  880,  0,   15,   -7,  0,
  495,  880,  0,   -9,  -15,  0,
  530,  880,  0,    7,    9,  0,
  565,  880,  0,    0,    0,  0,
  600,  880,  0,   15,   -6,  0,
  635,  880,  0,   -6,   15,  0,
  670,  880,  0,   14,   15,  0,
  705,  880,  0,   10,    6,  0,
  740,  880,  0,   15,  -15,  0,
  775,  880,  0,   12,    9,  0,
  810,  880,  0,    7,  -15,  0,
  845,  880,  0,   15,  -15,  0,
  880,  880,  0,    7,   15,  0,
  915,  880,  0,   15,  -13,  0,
  950,  880,  0,  -13,  -14,  0,
  985,  880,  0,   15,   15,  0,
 1020,  880,  0,   13,   14,  0,
,
    5,  915,  0,  -15,  -15,  0,
   40,  915,  0,  -15,   15,  0,
   75,  915,  0,   -7,   12,  0,
  110,  915,  0,    8,   15,  0,
  145,  915,  0,   15,  -13,  0,
  180,  915,  0,   15,  -15,  0,
  215,  915,  0,   10,  -14,  0,
  250,  915,  0,   15,   12,  0,
  285,  915,  0,    6,   -8,  0,
  320,  915,  0,    1,  -10,  0,
  355,  915,  0,  -15,  -11,  0,
  390,  915,  0,  -14,   11,  0,
  425,  915,  0,   13,   -1,  0,
  460,  915,  0,  -15,   -9,  0,
  495,  915,  0,    7,   15,  0,
  530,  915,  0,   15,   14,  0,
  565,  915,  0,  -15,  -12,  0,
  600,  915,  0,   10,  -13,  0,
  635,  915,  0,   -6,   -9,  0,
  670,  915,  0,   15,  -15,  0,
  705,  915,  0,   15,   14,  0,
  740,  915,  0,   13,   14,  0,
  775,  915,  0,  -15,   15,  0,
  810,  915,  0,   13,   15,  0,
  845,  915,  0,  -15,   14,  0,
  880,  915,  0,  -15,  -15,  0,
  915,  915,  0,  -15,  -13,  0,
  950,  915,  0,   15,   11,  0,
  985,  915,  0,   -6,   14,  0,
 1020,  915,  0,   15,   11,  0,
,
    5,  950,  0,   -5,   10,  0,
   40,  950,  0,  -11,   15,  0,
   75,  950,  0,  -15,   -5,  0,
  110,  950,  0,    2,  -14,  0,
  145,  950,  0,   14,   15,  0,
  180,  950,  0,  -15,   15,  0,
  215,  950,  0,  -15,  -14,  0,
  250,  950,  0,    8,   13,  0,
  285,  950,  0,   15,  -14,  0,
  320,  950,  0,   13,    3,  0,
  355,  950,  0,   -7,  -10,  0,
  390,  950,  0,   13,   14,  0,
  425,  950,  0,  -15,   15,  0,
  460,  950,  0,   13,   15,  0,
  495,  950,  0,   15,   -9,  0,
  530,  950,  0,   15,  -15,  0,
  565,  950,  0,   15,  -15,  0,
  600,  950,  0,   15,    5,  0,
  635,  950,  0,  -15,   12,  0,
  670,  950,  0,   -7,  -15,  0,
  705,  950,  0,    4,    5,  0,
  740,  950,  0,   -7,   15,  0,
  775,  950,  0,   -6,   15,  0,
  810,  950,  0,  -14,   14,  0,
  845,  950,  0,  -15,   14,  0,
  880,  950,  0,   -9,  -15,  0,
  915,  950,  0,   11,   15,  0,
  950,  950,  0,  -11,   14,  0,
  985,  950,  0,   -7,    7,  0,
 1020,  950,  0,   15,   13,  0,
,
    5,  985,  0,  -15,  -13,  0,
   40,  985,  0,   14,  -14,  0,
   75,  985,  0,   15,  -14,  0,
  110,  985,  0,  -15,  -15,  0,
  145,  985,  0,  -15,  -13,  0,
  180,  985,  0,  -14,   12,  0,
  215,  985,  0,  -11,  -15,  0,
  250,  985,  0,   13,  -15,  0,
  285,  985,  0,  -15,  -15,  0,
  320,  985,  0,  -13,  -14,  0,
  355,  985,  0,    0,    0,  0,
  390,  985,  0,   15,  -11,  0,
  425,  985,  0,  -13,  -14,  0,
  460,  985,  0,   14,  -15,  0,
  495,  985,  0,  -15,   -5,  0,
  530,  985,  0,   15,  -15,  0,
  565,  985,  0,  -12,  -15,  0,
  600,  985,  0,   15,  -15,  0,
  635,  985,  0,   15,    9,  0,
  670,  985,  0,    5,   13,  0,
  705,  985,  0,   15,   14,  0,
  740,  985,  0,  -12,   13,  0,
  775,  985,  0,   -7,  -13,  0,
  810,  985,  0,   15,   13,  0,
  845,  985,  0,  -15,  -10,  0,
  880,  985,  0,  -14,    6,  0,
  915,  985,  0,  -14,  -15,  0,
  950,  985,  0,   -8,   -4,  0,
  985,  985,  0,    6,  -12,  0,
 1020,  985,  0,   15,  -13,  0,
,
    5, 1020,  0,   13,   15,  0,
   40, 1020,  0,   14,   15,  0,
   75, 1020,  0,  -15,  -15,  0,
  110, 1020,  0,   -8,    4,  0,
  145, 1020,  0,   15,   14,  0,
  180, 1020,  0,  -15,  -13,  0,
  215, 1020,  0,   13,   15,  0,
  250, 1020,  0,  -15,   15,  0,
  285, 1020,  0,  -15,   15,  0,
  320, 1020,  0,   15,   15,  0,
  355, 1020,  0,  -10,  -15,  0,
  390, 1020,  0,   -9,   13,  0,
  425, 1020,  0,  -15,  -15,  0,
  460, 1020,  0,    5,   15,  0,
  495, 1020,  0,    5,    5,  0,
  530, 1020,  0,   -7,   13,  0,
  565, 1020,  0,   15,   12,  0,
  600, 1020,  0,  -10,   11,  0,
  635, 1020,  0,   15,   13,  0,
  670, 1020,  0,    8,  -12,  0,
  705, 1020,  0,   13,    1,  0,
  740, 1020,  0,  -15,   15,  0,
  775, 1020,  0,   11,  -13,  0,
  810, 1020,  0,   14,    1,  0,
  845, 1020,  0,  -14,   13,  0,
  880, 1020,  0,  -15,   15,  0,
  915, 1020,  0,  -15,   14,  0,
  950, 1020,  0,  -15,   15,  0,
  985, 1020,  0,   12,   15,  0,
 1020, 1020,  0,   10,   15,  0,
,
